department,year,ubigeo,iddpto,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,cases_rate_60mas,hosp_rate_men5,hosp_rate_60mas,death_rate_men5,death_rate_60mas,inc_rate_men5,inc_rate_60mas
AMAZONAS,2000,10000,1,356329,2900,0,480,0,30,0,813.854611889574,0.0,134.70697024379155,0.0,8.419185640236972,0.0,813.85,0.0
AMAZONAS,2001,10000,1,359138,2134,0,446,0,20,0,594.2005580027733,0.0,124.18624595559368,0.0,5.568889953165636,0.0,594.2,0.0
AMAZONAS,2002,10000,1,361947,1767,0,267,0,21,0,488.19302273537284,0.0,73.76770632164377,0.0,5.8019544297922065,0.0,488.19,0.0
AMAZONAS,2003,10000,1,364756,1442,0,235,0,9,0,395.3327703999386,0.0,64.42663040498306,0.0,2.4674028665738192,0.0,395.33,0.0
AMAZONAS,2004,10000,1,367566,1305,0,115,0,6,0,355.0382788397186,0.0,31.286898135300873,0.0,1.6323599027113498,0.0,355.04,0.0
AMAZONAS,2005,10000,1,370375,1004,0,58,0,4,0,271.07661154235575,0.0,15.659804252446843,0.0,1.0799865001687479,0.0,271.08,0.0
AMAZONAS,2006,10000,1,373184,1075,62,95,36,3,5,288.06165323272165,16.613788372491854,25.45661121591494,9.646715829188818,0.8038929857657349,1.3398216429428915,288.06,16.61
AMAZONAS,2007,10000,1,375993,1026,62,106,30,11,7,272.8774205902769,16.489668690640517,28.192014213030564,7.978871947084121,2.925586380597511,1.8617367876529616,272.88,16.49
AMAZONAS,2008,10000,1,380130,915,92,115,40,8,10,240.70712650935207,24.20224659984742,30.252808249809277,10.52271591297714,2.104543182595428,2.630678978244285,240.71,24.2
AMAZONAS,2009,10000,1,384267,856,94,96,53,8,5,222.76177761816652,24.46215782255567,24.982629265588773,13.792493240377134,2.0818857721323973,1.3011786075827485,222.76,24.46
AMAZONAS,2010,10000,1,388405,738,94,80,68,11,3,190.00785262805576,24.20154220465751,20.5970571954532,17.50749861613522,2.832095364374815,0.772389644829495,190.01,24.2
AMAZONAS,2011,10000,1,392542,802,52,91,41,14,4,204.30934778953588,13.246990130992353,23.182232729236617,10.444742218667047,3.5664973429594795,1.0189992408455655,204.31,13.25
AMAZONAS,2012,10000,1,396679,592,108,54,72,11,1,149.23905727300917,27.226044232238156,13.613022116119078,18.15069615482544,2.773023023653886,0.2520930021503533,149.24,27.23
AMAZONAS,2013,10000,1,400816,662,123,149,92,14,1,165.16306734262105,30.687397708674304,37.174164704003836,22.95317552193525,3.492874535946669,0.24949103828190494,165.16,30.69
